"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"23",2022,"020302","SCH","P","Alexander Central High","Alexander","Taylorsville",28681,"H","020LEA","09:12","Regular School","Traditional","N",NA,NA,1228,995,81.03,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.524,3.99,6.84,0.163,0.081,0,0,2.85,0.244,4.56,0.57,0.489,0,0.733,0.326,0
"24",2022,"020303","SCH","P","Alexander Early College","Alexander","Taylorsville",28681,"H","020LEA","09:12","Regular School","Modified","N",NA,NA,188,67,35.64,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2022,"020306","SCH","P","East Alexander Middle","Alexander","Hiddenite",28636,"M","020LEA","06:08","Regular School","Traditional","N",NA,NA,572,476,83.22,NA,"N","N","Y","Y",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2022,"020310","SCH","P","Alexander Virtual Academy","Alexander","Taylorsville",28681,"I","020LEA","0K:08","Regular School","Traditional","N",NA,NA,27,NA,5,TRUE,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2022,"020330","SCH","P","West Alexander Middle","Alexander","Taylorsville",28681,"M","020LEA","06:08","Regular School","Traditional","N",NA,NA,465,402,86.45,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2022,"020LEA","LEA","P","Alexander County Schools","Alexander","Taylorsville",28681,NA,NA,NA,NA,NA,"N",NA,NA,2785,1941,69.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.113,1.759,3.016,0.072,0.036,0,0,1.257,0.108,2.011,0.251,0.215,0,0.323,0.144,0
"29",2022,"030304","SCH","P","Alleghany High","Alleghany","Sparta",28675,"H","030LEA","09:12","Regular School","Traditional","N",NA,NA,409,381,93.15,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.623,5.379,2.2,1.711,0.244,0,0,3.178,0,4.401,0,0,0.978,0,0,2.689
"30",2022,"030308","SCH","P","Glade Creek Elementary","Alleghany","Ennice",28623,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,110,89,80.91,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2022,"030316","SCH","P","Piney Creek Elementary","Alleghany","Piney Creek",28663,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,69,46,66.67,NA,"N","N","N","N",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2022,"030320","SCH","P","Sparta Elementary","Alleghany","Sparta",28675,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,224,170,75.89,NA,"N","N","Y","Y",0,0.5,0.5,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
