"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"1912",2021,"430346",1368,NA,0.207602339181287,0.415204678362573,0.0628654970760234,0.467836257309941,0.297514619883041,0.532163742690059,0.0292397660818713,0.12280701754386,0.456140350877193,NA,0.584795321637427,0.87719298245614
"1913",2021,"430371",1660,0.0114457831325301,0.359036144578313,0.32289156626506,0.0168674698795181,0.498192771084337,0.199397590361446,0.501807228915663,0.103614457831325,0.102409638554217,0.305421686746988,0.0132530120481928,0.67710843373494,0.897590361445783
"1914",2021,"430378",1096,NA,0.262773722627737,0.427007299270073,0.0839416058394161,0.500912408759124,0.250912408759124,0.499087591240876,0.0538321167883212,0.110401459854015,0.420620437956204,NA,0.572992700729927,0.889598540145985
"1915",2021,"430384",1164,NA,0.189862542955326,0.397766323024055,0.0644329896907216,0.512886597938144,0.242268041237113,0.487113402061856,0.0567010309278351,0.123711340206186,0.494845360824742,0.0103092783505155,0.602233676975945,0.876288659793814
"1916",2021,"430LEA",5471,0.00676293182233595,0.27015170901115,0.387863279108024,0.0526411990495339,0.496618534088832,0.244745019192104,0.503381465911168,0.0628769877536099,0.113324803509413,0.403765307987571,0.0085907512337781,0.612136720891976,0.886675196490587
"1917",2021,"440326",98,NA,NA,0.540816326530612,NA,0.255102040816327,NA,0.744897959183674,NA,0.26530612244898,0.806122448979592,NA,0.459183673469388,0.73469387755102
"1918",2021,"440346",156,NA,NA,0.282051282051282,NA,0.532051282051282,NA,0.467948717948718,NA,NA,0.903846153846154,NA,0.717948717948718,1
"1919",2021,"440378",780,NA,NA,0.367948717948718,NA,0.503846153846154,0.0987179487179487,0.496153846153846,0.0205128205128205,0.153846153846154,0.861538461538462,NA,0.632051282051282,0.846153846153846
"1920",2021,"440390",868,NA,0.0126728110599078,0.302995391705069,0.0207373271889401,0.488479262672811,0.102534562211982,0.511520737327189,0.0288018433179724,0.148617511520737,0.844470046082949,NA,0.697004608294931,0.851382488479263
"1921",2021,"440LEA",1902,0.00736067297581493,0.0120925341745531,0.340168243953733,0.0141955835962145,0.486330178759201,0.0914826498422713,0.513669821240799,0.0294426919032597,0.144584647739222,0.854363827549947,0.00525762355415352,0.659831756046267,0.855415352260778
"1922",2021,"450316",883,NA,0.0215175537938845,0.419026047565119,0.0804077010192525,0.469988674971687,0.332955832389581,0.530011325028313,0.0385050962627407,0.138165345413364,0.590033975084938,NA,0.580973952434881,0.861834654586636
"1923",2021,"450334",722,NA,0.07202216066482,0.325484764542936,0.0401662049861496,0.522160664819945,0.168975069252078,0.477839335180055,0.0623268698060942,0.0955678670360111,0.68005540166205,NA,0.674515235457064,0.904432132963989
"1924",2021,"450341",1087,0.0174793008279669,0.0358785648574057,0.452621895124195,0.0837166513339466,0.482060717571297,0.356945722171113,0.517939282428703,0.046918123275069,0.172033118675253,0.539098436062557,NA,0.547378104875805,0.827966881324747
"1925",2021,"450343",120,NA,NA,0.608333333333333,0.191666666666667,0.391666666666667,0.333333333333333,0.608333333333333,NA,0.275,0.591666666666667,NA,0.391666666666667,0.725
