"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"6136",2021,"01D000","SCH","C","The Hawbridge School","Alamance","Saxapahaw",27340,"A","CH","04:12","Regular School","Traditional","N","010LEA",NA,294,NA,5,TRUE,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6137",2021,"020302","SCH","P","Alexander Central High","Alexander","Taylorsville",28681,"H","020LEA","09:12","Regular School","Traditional","N",NA,NA,1191,984,82.62,NA,"N","N","N","N",0,0.455,0.545,0,1,TRUE,25,55,55,10,0,0,0,33,0,76,1,0,0,0,9,0
"6138",2021,"020303","SCH","P","Alexander Early College","Alexander","Taylorsville",28681,"H","020LEA","09:12","Regular School","Modified","N",NA,NA,226,99,43.81,NA,"N","N","N","N",0,0.455,0.545,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6139",2021,"020306","SCH","P","East Alexander Middle","Alexander","Hiddenite",28636,"M","020LEA","06:08","Regular School","Traditional","N",NA,NA,605,560,92.56,NA,"N","N","Y","Y",0,0.455,0.545,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6140",2021,"020330","SCH","P","West Alexander Middle","Alexander","Taylorsville",28681,"M","020LEA","06:08","Regular School","Traditional","N",NA,NA,512,471,91.99,NA,"N","N","N","Y",0,0.455,0.545,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6141",2021,"020LEA","LEA","P","Alexander County Schools","Alexander","Taylorsville",28681,NA,NA,NA,NA,NA,"N",NA,NA,2888,2114,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,55,55,10,0,0,0,33,0,76,1,0,0,0,9,0
"6142",2021,"030304","SCH","P","Alleghany High","Alleghany","Sparta",28675,"H","030LEA","09:12","Regular School","Traditional","N",NA,NA,402,360,89.55,NA,"N","N","N","N",0,0.25,0.75,0,1,TRUE,30,24,5,0,0,0,0,13,0,17,0,3,0,0,0,7
"6143",2021,"030308","SCH","P","Glade Creek Elementary","Alleghany","Ennice",28623,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,108,89,82.41,NA,"N","N","Y","Y",0,0.25,0.75,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6144",2021,"030316","SCH","P","Piney Creek Elementary","Alleghany","Piney Creek",28663,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,71,48,67.61,NA,"N","N","N","N",0,0.25,0.75,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6145",2021,"030320","SCH","P","Sparta Elementary","Alleghany","Sparta",28675,"I","030LEA","PK:08","Regular School","Traditional","Y",NA,NA,218,146,66.97,NA,"N","N","Y","Y",0,0.25,0.75,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6146",2021,"030LEA","LEA","P","Alleghany County Schools","Alleghany","Sparta",28675,NA,NA,NA,NA,NA,"N",NA,NA,799,643,80.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,24,5,0,0,0,0,13,0,17,0,3,0,0,0,7
"6147",2021,"040304","SCH","P","Anson County Early College High School","Anson","Polkton",28135,"H","040LEA","09:13","Regular School","Traditional","N",NA,NA,246,71,28.86,NA,"N","N","N","N",0.4,0.5,0.5,0,0.6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6148",2021,"040306","SCH","P","Anson High School","Anson","Wadesboro",28170,"H","040LEA","09:12","Regular School","Traditional","N",NA,NA,628,NA,95,TRUE,"N","N","Y","Y",0.4,0.5,0.5,0,0.6,TRUE,1,11,6,0,0,0,0,10,0,13,0,1,0,8,10,17
"6149",2021,"040309","SCH","P","Anson Middle School","Anson","Wadesboro",28170,"M","040LEA","06:08","Regular School","Traditional","N",NA,NA,721,657,91.12,NA,"N","N","Y","Y",0.4,0.5,0.5,0,0.6,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6150",2021,"040LEA","LEA","P","Anson County Schools","Anson","Wadesboro",28170,NA,NA,NA,NA,NA,"N",NA,NA,1821,1352,74.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,6,0,0,0,0,10,0,13,0,1,2,8,10,17
"6151",2021,"050302","SCH","P","Ashe County High","Ashe","West Jefferson",28694,"H","050LEA","09:12","Regular School","Traditional","N",NA,NA,743,559,75.24,NA,"N","N","N","Y",0,0.667,0.333,0,1,TRUE,0,9,6,1,4,0,0,24,2,2,0,0,13,0,6,9
"6152",2021,"050303","SCH","P","Ashe County Early College High School","Ashe","West Jefferson",28694,"H","050LEA","09:12","Regular School","Traditional","N",NA,NA,117,87,74.36,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"6153",2021,"050305","SCH","P","Ashe County Middle","Ashe","Warrensville",28693,"M","050LEA","07:08","Regular School","Traditional","N",NA,NA,489,381,77.91,NA,"N","N","N","N",0,0.667,0.333,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
