year,agency_code,career_cluster,num_concentrators
2017,180376,AGNR,7
2017,180376,ARCH,30
2017,180376,BMA,20
2017,180376,HLTH,29
2017,180376,HOSP,2
2017,180376,HUMA,3
2017,180376,INFO,10
2017,180376,MANU,24
2017,180376,MRKT,8
2017,180376,STEM,8
2017,181318,AAVC,28
2017,181318,AGNR,3
2017,181318,BMA,19
2017,181318,HOSP,8
2017,181318,INFO,3
2017,181318,LAW,7
2017,181318,MRKT,12
2017,181322,AAVC,6
2017,181322,AGNR,36
2017,181322,ARCH,14
2017,181322,BMA,15
2017,181322,HLTH,6
2017,181322,HOSP,51
2017,181322,INFO,19
2017,181322,LAW,1
2017,181322,MRKT,12
2017,181322,TRAN,10
2017,182316,AAVC,8
2017,182316,AGNR,27
2017,182316,ARCH,24
2017,182316,HLTH,88
2017,182316,HOSP,5
2017,182316,HUMA,63
2017,182316,INFO,14
2017,182316,MANU,3
2017,182700,ARCH,1
2017,190310,AGNR,15
2017,190310,HOSP,15
2017,190316,AAVC,2
2017,190316,AGNR,15
2017,190316,ARCH,13
2017,190316,BMA,2
2017,190316,HLTH,21
2017,190316,HOSP,1
2017,190316,INFO,9
2017,190316,LAW,4
2017,190316,MANU,2
2017,190316,TRAN,4
2017,190336,AGNR,34
2017,190336,ARCH,32
2017,190336,HLTH,43
2017,190336,HOSP,30
2017,190336,LAW,9
2017,190336,MRKT,11
2017,190336,STEM,10
2017,190336,TRAN,19
2017,190342,AAVC,3
2017,190342,AGNR,62
2017,190342,ARCH,28
2017,190342,BMA,11
2017,190342,HLTH,20
2017,190342,HOSP,44
2017,190342,INFO,21
2017,190342,LAW,1
2017,190342,MANU,2
2017,190342,MRKT,7
2017,190342,TRAN,36
2017,19A000,BMA,2
2017,19A000,HOSP,1
2017,19A000,LAW,1
2017,19A000,MANU,2
2017,200308,AGNR,1
2017,200308,HLTH,10
2017,200308,HOSP,3
2017,200308,INFO,8
2017,200308,MANU,3
2017,200308,STEM,6
2017,200314,AGNR,9
2017,200314,ARCH,9
2017,200314,HLTH,15
2017,200314,HOSP,1
2017,200314,INFO,5
2017,200314,MANU,5
2017,200314,TRAN,1
2017,200322,STEM,1
2017,200328,AAVC,11
2017,200328,AGNR,18
2017,200328,HLTH,10
2017,200328,HOSP,1
2017,200328,INFO,8
2017,200328,LAW,3
2017,200328,MANU,11
2017,200350,TRAN,1
2017,210312,AAVC,3
2017,210312,AGNR,43
2017,210312,BMA,6
2017,210312,HLTH,9
2017,210312,HOSP,24
2017,210312,INFO,5
2017,210312,MANU,12
2017,210312,MRKT,3
2017,220310,AGNR,18
2017,220310,ARCH,10
2017,220310,BMA,10
2017,220310,HLTH,13
2017,220310,HOSP,15
2017,220310,INFO,13
2017,220310,TRAN,12
2017,230312,AAVC,19
2017,230312,AGNR,92
2017,230312,ARCH,36
2017,230312,BMA,10
2017,230312,HLTH,32
2017,230312,HOSP,53
2017,230312,HUMA,1
2017,230312,INFO,28
2017,230312,LAW,19
2017,230312,MANU,33
2017,230312,MRKT,3
2017,230322,INFO,1
2017,230324,AGNR,57
2017,230324,ARCH,13
2017,230324,BMA,18
2017,230324,EDUC,1
2017,230324,HLTH,45
2017,230324,HOSP,38
2017,230324,HUMA,3
2017,230324,INFO,8
2017,230324,LAW,31
2017,230324,MANU,39
2017,230324,MRKT,4
2017,230324,TRAN,17
2017,230330,ARCH,4
2017,230330,BMA,1
2017,230350,AAVC,16
2017,230350,AGNR,68
2017,230350,ARCH,47
2017,230350,BMA,39
2017,230350,EDUC,4
2017,230350,HLTH,24
2017,230350,HOSP,64
2017,230350,INFO,12
2017,230350,LAW,48
2017,230350,MANU,59
2017,230350,MRKT,9
2017,230350,STEM,24
2017,230361,ARCH,38
2017,230361,BMA,24
2017,230361,HLTH,23
2017,230361,HOSP,28
2017,230361,HUMA,3
2017,230361,INFO,10
2017,230361,LAW,20
2017,230361,MANU,11
2017,230361,STEM,11
2017,240334,AGNR,33
2017,240334,HLTH,17
2017,240334,HUMA,1
2017,240334,INFO,1
2017,240334,LAW,11
2017,240334,TRAN,2
2017,240371,AGNR,34
2017,240371,HLTH,16
2017,240371,INFO,15
2017,240371,LAW,3
2017,240371,TRAN,6
2017,240373,ARCH,7
2017,240373,BMA,4
2017,240373,HOSP,7
2017,240373,MANU,2
2017,240373,MRKT,4
2017,240373,STEM,4
2017,240380,AGNR,27
2017,240380,HLTH,26
2017,240380,INFO,9
2017,240380,LAW,5
2017,240380,TRAN,5
2017,241316,AGNR,9
2017,241316,ARCH,27
2017,241316,BMA,1
2017,241316,HLTH,11
2017,241316,HOSP,2
2017,241316,HUMA,3
2017,241316,INFO,2
2017,241316,MANU,9
2017,241316,TRAN,15
2017,250314,TRAN,1
2017,250321,HUMA,2
2017,250321,INFO,4
2017,250321,LAW,1
2017,250340,AAVC,35
2017,250340,AGNR,13
2017,250340,ARCH,9
2017,250340,BMA,4
2017,250340,FINA,1
2017,250340,HLTH,16
2017,250340,HOSP,12
2017,250340,HUMA,3
2017,250340,INFO,7
2017,250340,STEM,31
2017,250340,TRAN,6
2017,250356,AAVC,10
2017,250356,AGNR,32
2017,250356,ARCH,7
2017,250356,BMA,13
2017,250356,FINA,14
2017,250356,HLTH,59
2017,250356,HOSP,37
2017,250356,INFO,10
2017,250356,MRKT,4
2017,250356,STEM,9
2017,250372,AAVC,32
2017,250372,AGNR,39
2017,250372,ARCH,16
2017,250372,BMA,18
2017,250372,HLTH,53
2017,250372,HOSP,34
2017,250372,INFO,20
2017,250372,LAW,14
2017,250372,MANU,6
2017,250372,MRKT,3
2017,250372,STEM,16
2017,260318,AAVC,38
2017,260318,AGNR,21
2017,260318,ARCH,3
2017,260318,BMA,78
2017,260318,FINA,45
2017,260318,HLTH,42
2017,260318,HOSP,60
2017,260318,INFO,127
2017,260318,LAW,5
2017,260318,MANU,32
2017,260318,MRKT,40
2017,260318,STEM,25
2017,260318,TRAN,10
2017,260322,AAVC,2
2017,260322,AGNR,89
2017,260322,ARCH,10
2017,260322,BMA,51
2017,260322,FINA,37
2017,260322,HOSP,97
2017,260322,INFO,46
2017,260322,LAW,3
2017,260322,MRKT,9
2017,260322,STEM,1
2017,260325,AAVC,68
2017,260325,AGNR,391
2017,260325,ARCH,39
2017,260325,BMA,162
2017,260325,HLTH,169
2017,260325,HOSP,212
2017,260325,HUMA,2
2017,260325,INFO,434
2017,260325,LAW,251
2017,260325,MANU,68
2017,260325,MRKT,15
2017,260325,TRAN,10
2017,260354,AGNR,1
2017,260357,AGNR,100
2017,260357,ARCH,1
2017,260357,BMA,19
2017,260357,HLTH,45
2017,260357,HOSP,69
2017,260357,INFO,42
2017,260357,LAW,3
2017,260357,MRKT,2
2017,260357,STEM,5
2017,260359,AGNR,53
2017,260359,BMA,13
2017,260359,HLTH,1
2017,260359,HOSP,75
2017,260359,INFO,12
2017,260359,LAW,2
2017,260359,MRKT,4
2017,260359,TRAN,7
2017,260374,AGNR,1
2017,260374,HOSP,1
2017,260374,MRKT,1
2017,260388,BMA,7
2017,260408,AAVC,3
2017,260408,AGNR,284
2017,260408,ARCH,3
2017,260408,BMA,217
2017,260408,HLTH,27
2017,260408,HOSP,141
2017,260408,INFO,141
2017,260408,LAW,6
2017,260408,MANU,3
2017,260408,MRKT,177
2017,260408,STEM,1
2017,260411,BMA,9
2017,260411,INFO,14
2017,260411,LAW,1
2017,260424,AAVC,10
2017,260424,AGNR,123
2017,260424,ARCH,6
2017,260424,BMA,22
2017,260424,FINA,14
2017,260424,HLTH,5
2017,260424,HOSP,97
2017,260424,HUMA,6
2017,260424,INFO,30
2017,260424,LAW,1
2017,260424,MANU,23
2017,260424,MRKT,12
2017,260427,AAVC,3
2017,260427,AGNR,32
2017,260427,ARCH,15
2017,260427,BMA,16
2017,260427,HLTH,14
2017,260427,HOSP,47
2017,260427,INFO,18
2017,260427,LAW,14
2017,260427,MRKT,7
2017,260427,STEM,16
2017,260446,AAVC,2
2017,260446,AGNR,9
2017,260446,ARCH,7
2017,260446,BMA,26
2017,260446,FINA,2
2017,260446,HLTH,25
2017,260446,HOSP,40
2017,260446,INFO,22
2017,260446,LAW,10
2017,260446,MANU,3
2017,260446,MRKT,6
2017,260449,AGNR,5
2017,260449,BMA,3
2017,260449,HOSP,8
2017,260449,INFO,3
2017,260449,MRKT,1
2017,260455,AGNR,20
2017,260455,BMA,15
2017,260455,HLTH,27
2017,260455,HOSP,40
2017,260455,HUMA,2
2017,260455,INFO,9
2017,260455,LAW,10
2017,260455,MRKT,9
2017,260455,STEM,20
2017,260455,TRAN,6
2017,260700,BMA,1
2017,260700,LAW,3
2017,270306,AAVC,10
2017,270306,AGNR,98
2017,270306,ARCH,36
2017,270306,BMA,14
2017,270306,FINA,1
2017,270306,HLTH,23
2017,270306,HOSP,62
2017,270306,HUMA,6
2017,270306,INFO,2
2017,270306,MANU,3
2017,270306,MRKT,14
2017,270306,TRAN,22
2017,270311,HUMA,2
2017,270311,INFO,1
2017,270311,MANU,2
2017,270311,TRAN,1
2017,280304,AAVC,62
2017,280304,AGNR,3
2017,280304,ARCH,1
2017,280304,HOSP,12
2017,280304,INFO,60
2017,280306,INFO,1
2017,280306,MANU,1
2017,280316,AGNR,4
2017,280316,ARCH,10
2017,280316,HOSP,3
2017,280316,MANU,1
